aquifer_id,lat,lon,district,well_type,season,land_use,well_depth_m,water_table_depth_m,aquifer_thickness_m,transmissivity_m2_per_day,hydraulic_conductivity_m_per_day,tds_mg_per_L,nitrate_mg_per_L,fluoride_mg_per_L,pH,depletion_rate_m_per_year,years_depleting,aquifer_cluster,cluster_name
AQ0158,27.75,85.29,Bhaktapur,shallow_tube,wet,peri-urban,13.89,13.74,43.3,811.83,18.75,351.89,1.73,0.33,7.11,0.74,8,0,Moderate Stress
AQ0159,27.65,85.37,Bhaktapur,shallow_tube,wet,urban,83.88,16.15,48.09,342.3,7.12,261.44,8.58,0.76,8.18,1.89,7,2,Moderate Stress
AQ0160,27.75,85.35,Kathmandu,deep_tube,dry,urban,135.09,54.99,30.46,739.91,24.29,794.17,3.88,0.18,6.31,1.48,14,1,Critical Depletion Zone
AQ0161,27.67,85.29,Bhaktapur,deep_tube,dry,urban,153.27,32.55,28.15,493.37,17.53,995.73,7.22,0.75,6.91,2.0,7,1,Critical Depletion Zone
AQ0162,27.73,85.46,Kathmandu,deep_tube,dry,peri-urban,102.63,32.07,8.83,181.31,20.54,697.95,3.03,0.51,7.16,0.35,3,2,Moderate Stress
AQ0163,27.73,85.36,Kathmandu,dug,wet,urban,5.11,0.69,29.7,472.29,15.9,394.4,6.77,0.69,7.21,2.35,14,2,Moderate Stress
AQ0164,27.71,85.26,Lalitpur,deep_tube,dry,urban,160.32,5.96,22.1,614.24,27.79,508.18,2.86,0.65,6.83,2.22,6,0,Moderate Stress
AQ0165,27.62,85.23,Kathmandu,dug,wet,urban,3.39,5.6,32.32,899.25,27.82,397.17,2.14,0.19,7.66,1.31,13,0,Moderate Stress
AQ0166,27.77,85.24,Bhaktapur,dug,dry,urban,6.44,4.49,22.49,538.41,23.94,716.26,9.28,0.52,7.95,2.14,13,0,Moderate Stress
AQ0167,27.66,85.26,Bhaktapur,shallow_tube,dry,urban,93.29,21.3,15.81,69.71,4.41,572.94,4.16,0.78,8.08,0.85,5,2,Moderate Stress
AQ0168,27.64,85.24,Lalitpur,dug,wet,urban,3.74,1.77,9.27,260.8,28.12,464.12,8.56,0.39,7.81,2.44,1,0,Moderate Stress
AQ0169,27.61,85.25,Kathmandu,shallow_tube,dry,peri-urban,78.33,2.57,19.17,435.11,22.7,454.95,6.0,0.87,7.9,0.93,11,0,Moderate Stress
AQ0170,27.72,85.27,Kathmandu,dug,wet,urban,5.87,4.6,9.35,220.05,23.54,290.53,3.69,0.41,7.3,1.32,3,2,Moderate Stress
AQ0171,27.74,85.25,Lalitpur,shallow_tube,dry,urban,68.28,7.46,12.96,165.07,12.74,786.38,4.12,0.14,7.85,1.42,13,2,Moderate Stress
AQ0172,27.6,85.43,Bhaktapur,dug,wet,urban,4.82,0.69,49.43,1454.73,29.43,150.0,7.3,0.36,6.81,0.91,12,0,Moderate Stress
AQ0173,27.7,85.22,Lalitpur,dug,wet,peri-urban,4.12,7.3,24.98,610.97,24.45,598.94,5.83,0.86,7.0,1.49,1,0,Moderate Stress
AQ0174,27.65,85.34,Kathmandu,dug,dry,urban,4.12,1.29,28.93,134.27,4.64,338.4,9.33,0.29,6.83,0.87,4,2,Moderate Stress
AQ0175,27.73,85.31,Lalitpur,deep_tube,wet,peri-urban,108.46,38.07,44.31,628.57,14.18,532.12,3.51,0.78,7.13,1.09,10,1,Critical Depletion Zone
AQ0176,27.63,85.46,Lalitpur,shallow_tube,dry,urban,25.08,8.46,49.8,1477.07,29.66,150.0,8.36,0.79,6.77,1.55,3,0,Moderate Stress
AQ0177,27.74,85.23,Lalitpur,shallow_tube,wet,urban,69.11,5.99,31.22,78.87,2.53,368.95,3.09,0.32,8.12,2.41,11,2,Moderate Stress
AQ0178,27.68,85.3,Kathmandu,deep_tube,dry,urban,205.8,25.27,41.56,1333.53,32.09,444.7,9.82,0.08,6.83,1.22,4,0,Moderate Stress
AQ0179,27.79,85.45,Lalitpur,shallow_tube,dry,urban,82.9,20.43,19.71,452.59,22.96,482.8,9.71,0.65,6.4,1.7,9,0,Moderate Stress
AQ0180,27.63,85.43,Lalitpur,deep_tube,dry,urban,182.22,25.96,18.76,401.7,21.41,632.11,3.31,0.29,7.25,1.62,3,1,Critical Depletion Zone
AQ0181,27.67,85.41,Bhaktapur,shallow_tube,wet,urban,18.16,19.27,23.12,225.39,9.75,784.24,4.4,0.71,6.31,1.99,12,2,Moderate Stress
AQ0182,27.62,85.27,Kathmandu,dug,wet,peri-urban,5.02,1.43,35.26,318.93,9.04,255.82,1.5,0.4,6.42,0.38,6,2,Moderate Stress
AQ0183,27.78,85.24,Lalitpur,deep_tube,wet,urban,137.18,47.28,35.7,1123.07,31.46,934.29,4.17,0.44,6.64,1.46,6,1,Critical Depletion Zone
AQ0184,27.78,85.37,Bhaktapur,dug,wet,urban,4.75,2.52,19.19,204.22,10.64,206.12,8.53,0.7,7.13,2.05,7,2,Moderate Stress
AQ0185,27.65,85.44,Kathmandu,shallow_tube,dry,urban,55.38,17.58,10.99,286.68,26.07,399.65,5.03,0.35,7.07,1.12,9,2,Moderate Stress
AQ0186,27.73,85.34,Bhaktapur,dug,dry,urban,6.75,5.74,33.46,458.74,13.71,817.19,2.71,0.4,7.8,1.77,12,2,Moderate Stress
AQ0187,27.76,85.35,Lalitpur,dug,dry,urban,5.5,9.31,10.77,59.29,5.5,346.02,4.74,0.34,7.68,1.17,7,2,Moderate Stress
AQ0188,27.71,85.27,Kathmandu,deep_tube,dry,urban,142.45,25.69,31.03,41.78,1.35,988.14,9.85,0.34,7.05,2.26,14,1,Critical Depletion Zone
AQ0189,27.71,85.4,Kathmandu,deep_tube,dry,urban,199.43,7.71,36.2,673.31,18.6,428.44,7.04,0.48,6.87,2.4,1,0,Moderate Stress
AQ0190,27.65,85.25,Lalitpur,deep_tube,dry,urban,194.72,5.07,36.53,1188.98,32.55,451.18,5.33,0.73,6.83,1.68,8,0,Moderate Stress
AQ0191,27.62,85.28,Kathmandu,shallow_tube,wet,urban,36.32,21.02,38.91,503.27,12.94,824.25,3.33,0.33,7.75,1.4,5,2,Moderate Stress
AQ0192,27.78,85.31,Lalitpur,deep_tube,dry,urban,209.65,33.39,44.28,555.66,12.55,988.23,9.89,0.48,6.3,1.43,9,1,Critical Depletion Zone
AQ0193,27.78,85.33,Kathmandu,shallow_tube,dry,urban,95.66,19.83,27.5,333.43,12.13,576.14,8.57,0.61,6.23,1.26,10,2,Moderate Stress
AQ0194,27.73,85.26,Lalitpur,shallow_tube,dry,urban,38.06,7.39,37.86,675.1,17.83,396.27,4.25,0.25,7.79,1.91,13,0,Moderate Stress
AQ0195,27.67,85.23,Kathmandu,shallow_tube,wet,agriculture,40.61,9.94,32.86,501.1,15.25,488.19,2.42,0.26,7.15,0.73,12,2,Moderate Stress
AQ0196,27.67,85.36,Bhaktapur,shallow_tube,wet,urban,54.52,2.69,13.4,394.6,29.45,494.52,2.45,0.84,6.46,2.4,5,0,Moderate Stress
AQ0197,27.75,85.28,Bhaktapur,shallow_tube,wet,urban,94.58,24.11,6.16,106.78,17.35,819.4,2.96,0.65,6.67,1.47,5,1,Critical Depletion Zone
AQ0198,27.78,85.35,Bhaktapur,shallow_tube,dry,urban,88.62,17.36,17.8,310.11,17.42,574.46,6.65,0.52,8.07,1.98,12,2,Moderate Stress
AQ0199,27.78,85.24,Lalitpur,dug,dry,peri-urban,3.72,9.35,24.94,136.5,5.47,417.23,5.64,0.59,7.92,0.89,12,2,Moderate Stress
AQ0200,27.76,85.33,Kathmandu,deep_tube,wet,peri-urban,147.13,18.87,32.77,1074.04,32.78,716.35,3.48,0.04,7.62,0.92,14,0,Moderate Stress
AQ0201,27.73,85.34,Lalitpur,dug,dry,urban,6.87,6.19,43.25,392.8,9.08,538.19,8.74,0.56,7.16,1.26,2,2,Moderate Stress
AQ0202,27.62,85.21,Kathmandu,deep_tube,wet,agriculture,160.38,42.0,13.83,46.64,3.37,882.29,4.68,0.46,7.24,0.65,12,1,Critical Depletion Zone
AQ0203,27.63,85.29,Kathmandu,shallow_tube,wet,urban,25.84,9.3,10.65,239.0,22.44,189.25,7.67,0.5,8.15,1.6,11,2,Moderate Stress
AQ0204,27.78,85.23,Kathmandu,deep_tube,wet,urban,203.06,51.49,48.36,979.23,20.25,388.8,7.85,0.33,8.13,2.77,3,1,Critical Depletion Zone
AQ0205,27.72,85.22,Kathmandu,deep_tube,dry,peri-urban,181.23,57.04,9.86,142.24,14.42,848.09,1.87,0.08,6.63,0.7,10,1,Critical Depletion Zone
AQ0206,27.6,85.46,Lalitpur,shallow_tube,dry,peri-urban,85.09,22.35,26.53,388.72,14.65,404.55,2.81,0.18,7.82,0.35,9,2,Moderate Stress
AQ0207,27.62,85.28,Lalitpur,deep_tube,wet,urban,203.05,45.39,31.35,827.14,26.38,750.92,7.1,0.86,6.59,2.17,7,1,Critical Depletion Zone
AQ0208,27.73,85.41,Kathmandu,shallow_tube,dry,urban,76.85,8.38,29.36,215.16,7.33,532.52,2.57,0.37,6.63,1.09,1,2,Moderate Stress
AQ0209,27.6,85.27,Kathmandu,deep_tube,wet,urban,152.71,19.77,8.87,244.16,27.52,585.62,4.89,0.43,7.55,2.09,3,1,Critical Depletion Zone
AQ0210,27.63,85.38,Bhaktapur,deep_tube,dry,urban,173.27,57.95,7.57,166.28,21.98,1205.04,6.28,0.06,7.01,3.24,12,1,Critical Depletion Zone
AQ0211,27.71,85.4,Kathmandu,shallow_tube,dry,peri-urban,22.75,2.24,9.75,141.78,14.55,239.59,5.98,0.04,8.06,0.54,2,2,Moderate Stress
AQ0212,27.74,85.35,Kathmandu,shallow_tube,dry,urban,69.98,18.47,31.35,495.65,15.81,435.31,5.8,0.65,6.38,2.29,1,2,Moderate Stress
AQ0213,27.73,85.32,Kathmandu,deep_tube,wet,urban,121.51,43.55,29.5,274.26,9.3,1033.53,8.53,0.49,7.22,2.47,9,1,Critical Depletion Zone
AQ0214,27.64,85.31,Lalitpur,deep_tube,dry,urban,183.27,38.87,15.52,392.9,25.32,745.28,5.46,0.46,8.04,2.43,8,1,Critical Depletion Zone
AQ0215,27.74,85.29,Lalitpur,shallow_tube,dry,urban,29.12,24.77,33.7,592.54,17.58,753.03,8.37,0.23,8.01,1.62,5,0,Moderate Stress
AQ0216,27.65,85.44,Kathmandu,dug,wet,urban,3.82,3.26,41.9,476.62,11.37,337.08,6.76,0.67,6.51,1.43,11,2,Moderate Stress
AQ0217,27.67,85.42,Kathmandu,shallow_tube,dry,urban,23.21,9.82,6.87,139.29,20.27,368.23,9.09,0.16,6.93,1.64,12,2,Moderate Stress
AQ0218,27.75,85.45,Lalitpur,deep_tube,wet,agriculture,100.24,8.42,27.42,910.08,33.2,501.04,4.47,0.18,7.44,0.78,2,0,Moderate Stress
AQ0219,27.73,85.23,Lalitpur,dug,dry,peri-urban,8.03,4.54,36.02,542.93,15.07,247.96,4.02,0.42,6.52,0.53,1,2,Moderate Stress
AQ0220,27.77,85.39,Kathmandu,shallow_tube,wet,urban,75.38,8.0,16.35,503.2,30.77,576.01,7.04,0.26,8.14,2.33,7,0,Moderate Stress
AQ0221,27.73,85.44,Bhaktapur,shallow_tube,dry,peri-urban,55.37,9.9,18.85,229.13,12.16,245.25,3.09,0.23,8.03,1.11,13,2,Moderate Stress
AQ0222,27.71,85.25,Kathmandu,shallow_tube,dry,peri-urban,22.85,21.2,32.61,90.33,2.77,150.0,1.72,0.58,6.53,1.06,11,2,Moderate Stress
AQ0223,27.62,85.22,Kathmandu,shallow_tube,wet,peri-urban,15.69,23.52,45.41,345.27,7.6,348.61,1.47,0.59,6.44,0.42,11,2,Moderate Stress
AQ0224,27.67,85.39,Bhaktapur,shallow_tube,wet,urban,9.76,6.27,41.45,602.54,14.54,621.48,2.13,0.74,6.37,1.83,2,2,Moderate Stress
AQ0225,27.65,85.35,Kathmandu,deep_tube,wet,urban,119.89,24.86,31.24,253.1,8.1,589.13,8.99,0.38,8.02,1.01,1,2,Moderate Stress
AQ0226,27.65,85.42,Lalitpur,shallow_tube,wet,urban,89.96,23.36,37.86,38.14,1.01,584.31,3.89,0.08,6.59,0.93,2,2,Moderate Stress
AQ0227,27.79,85.24,Kathmandu,deep_tube,wet,urban,128.98,7.46,21.42,655.04,30.59,671.89,3.69,0.25,7.03,1.7,7,0,Moderate Stress
AQ0228,27.68,85.41,Kathmandu,dug,dry,urban,5.48,1.11,33.84,957.28,28.29,268.66,7.89,0.88,7.1,1.48,7,0,Moderate Stress
AQ0229,27.78,85.25,Bhaktapur,dug,wet,urban,3.74,1.8,25.98,649.47,25.0,150.0,4.56,0.54,7.4,1.8,10,0,Moderate Stress
AQ0230,27.73,85.24,Kathmandu,deep_tube,wet,urban,126.68,37.33,13.55,87.05,6.43,741.19,6.05,0.64,6.34,1.41,6,1,Critical Depletion Zone
AQ0231,27.76,85.24,Bhaktapur,shallow_tube,dry,peri-urban,55.77,5.46,36.58,178.93,4.89,157.77,1.81,0.02,6.65,0.51,5,2,Moderate Stress
AQ0232,27.7,85.41,Kathmandu,deep_tube,wet,urban,172.93,58.21,30.04,95.71,3.19,788.87,9.68,0.47,8.06,3.01,3,1,Critical Depletion Zone
AQ0233,27.72,85.37,Kathmandu,deep_tube,dry,urban,129.44,29.02,21.14,515.98,24.41,655.08,8.81,0.04,8.02,1.97,14,1,Critical Depletion Zone
AQ0234,27.7,85.34,Kathmandu,deep_tube,dry,agriculture,106.93,32.09,46.01,1427.77,31.03,819.15,7.18,0.52,7.76,0.53,12,0,Moderate Stress
AQ0235,27.64,85.29,Lalitpur,shallow_tube,dry,agriculture,43.98,7.67,5.94,88.66,14.92,474.87,4.44,0.83,6.24,0.29,3,2,Moderate Stress
AQ0236,27.74,85.43,Kathmandu,dug,dry,peri-urban,4.64,4.82,19.21,93.21,4.85,309.55,4.81,0.87,6.85,1.47,11,2,Moderate Stress
AQ0237,27.66,85.3,Bhaktapur,deep_tube,dry,agriculture,126.35,41.07,7.56,132.8,17.57,1173.35,2.86,0.49,7.46,0.49,13,1,Critical Depletion Zone
AQ0238,27.6,85.41,Kathmandu,shallow_tube,wet,urban,96.31,19.28,39.49,484.94,12.28,524.19,2.07,0.42,6.75,1.52,12,2,Moderate Stress
AQ0239,27.73,85.31,Bhaktapur,shallow_tube,wet,agriculture,64.7,19.34,36.59,480.1,13.12,649.06,2.12,0.85,8.02,0.85,9,2,Moderate Stress
AQ0240,27.64,85.3,Kathmandu,deep_tube,wet,urban,166.83,36.36,19.91,419.91,21.09,661.78,6.69,0.61,7.47,1.53,4,1,Critical Depletion Zone
AQ0241,27.79,85.32,Bhaktapur,dug,dry,urban,5.91,9.06,35.4,858.16,24.24,321.36,5.64,0.07,6.34,1.71,9,0,Moderate Stress
AQ0242,27.79,85.28,Lalitpur,deep_tube,wet,urban,151.47,49.77,22.82,104.42,4.58,780.77,6.14,0.42,8.02,1.51,4,1,Critical Depletion Zone
AQ0243,27.78,85.39,Lalitpur,deep_tube,dry,urban,164.91,46.39,39.03,83.95,2.15,768.2,2.06,0.22,8.12,1.81,2,1,Critical Depletion Zone
AQ0244,27.67,85.33,Bhaktapur,shallow_tube,dry,urban,72.07,3.28,25.44,843.28,33.15,504.68,5.38,0.43,6.36,1.97,4,0,Moderate Stress
AQ0245,27.6,85.26,Lalitpur,deep_tube,dry,urban,184.26,4.39,23.55,200.78,8.52,913.67,7.74,0.42,7.26,1.22,6,1,Critical Depletion Zone
AQ0246,27.79,85.43,Lalitpur,deep_tube,dry,peri-urban,120.6,15.9,47.06,128.98,2.74,215.76,3.21,0.53,6.81,0.38,6,2,Moderate Stress
AQ0247,27.69,85.3,Kathmandu,shallow_tube,wet,urban,54.01,17.26,16.29,116.3,7.14,489.29,7.86,0.33,6.99,1.97,5,2,Moderate Stress
AQ0248,27.79,85.34,Kathmandu,shallow_tube,dry,urban,45.9,11.46,10.42,23.55,2.26,501.95,3.86,0.16,6.56,1.77,1,2,Moderate Stress
AQ0249,27.79,85.44,Bhaktapur,deep_tube,dry,peri-urban,204.46,26.53,31.3,427.89,13.67,544.51,5.07,0.46,7.36,0.79,3,1,Critical Depletion Zone
AQ0250,27.77,85.36,Lalitpur,shallow_tube,wet,urban,66.09,22.35,48.62,1310.02,26.94,676.17,6.71,0.75,8.12,1.42,5,0,Moderate Stress
AQ0251,27.66,85.23,Lalitpur,deep_tube,wet,urban,163.9,54.15,22.0,264.77,12.03,1198.33,3.69,0.6,7.21,1.77,6,1,Critical Depletion Zone
AQ0252,27.68,85.44,Kathmandu,shallow_tube,dry,urban,18.62,22.91,7.79,119.69,15.36,150.0,3.89,0.31,6.37,2.45,14,2,Moderate Stress
AQ0253,27.77,85.36,Kathmandu,shallow_tube,dry,urban,63.72,9.22,20.27,463.02,22.84,150.0,7.02,0.84,7.44,1.1,1,0,Moderate Stress
AQ0254,27.66,85.29,Kathmandu,shallow_tube,dry,urban,18.78,17.89,27.77,484.65,17.45,479.77,8.64,0.82,6.88,1.82,14,2,Moderate Stress
AQ0255,27.63,85.24,Lalitpur,dug,dry,agriculture,5.36,2.86,12.29,354.51,28.85,648.08,4.49,0.2,7.91,0.62,14,0,Moderate Stress
AQ0256,27.71,85.41,Kathmandu,dug,dry,urban,4.0,2.07,34.61,1003.89,29.0,150.0,4.07,0.05,7.07,1.56,9,0,Moderate Stress
AQ0257,27.79,85.36,Kathmandu,dug,dry,urban,7.84,2.01,49.9,65.89,1.32,150.0,8.94,0.67,6.59,1.23,14,2,Moderate Stress
AQ0258,27.74,85.34,Kathmandu,deep_tube,wet,peri-urban,124.75,23.16,25.33,662.51,26.16,545.82,4.35,0.75,6.58,1.29,3,0,Moderate Stress
AQ0259,27.71,85.43,Kathmandu,shallow_tube,wet,peri-urban,44.05,11.89,20.96,333.25,15.9,367.62,3.24,0.87,7.74,0.88,10,2,Moderate Stress
AQ0260,27.62,85.41,Lalitpur,deep_tube,wet,urban,207.48,50.53,23.03,759.41,32.97,687.29,5.9,0.8,6.73,2.11,13,1,Critical Depletion Zone
AQ0261,27.72,85.24,Kathmandu,deep_tube,dry,urban,124.52,10.71,10.18,169.26,16.62,310.03,3.63,0.54,7.73,1.11,3,2,Moderate Stress
AQ0262,27.8,85.28,Lalitpur,dug,dry,urban,6.55,7.4,44.75,1472.62,32.91,280.07,7.01,0.48,6.61,0.95,11,0,Moderate Stress
AQ0263,27.63,85.26,Kathmandu,shallow_tube,dry,urban,46.57,14.22,23.67,601.09,25.4,564.34,4.87,0.03,6.84,2.01,2,0,Moderate Stress
AQ0264,27.7,85.39,Kathmandu,deep_tube,wet,urban,102.17,20.12,22.43,202.7,9.04,475.99,9.97,0.23,7.13,1.13,8,2,Moderate Stress
AQ0265,27.78,85.21,Kathmandu,shallow_tube,dry,urban,80.93,13.33,34.69,638.5,18.41,632.16,5.84,0.42,8.09,1.97,13,0,Moderate Stress
AQ0266,27.75,85.35,Kathmandu,shallow_tube,dry,agriculture,14.35,8.9,24.89,823.39,33.08,150.0,4.92,0.57,8.06,0.59,3,0,Moderate Stress
AQ0267,27.74,85.4,Kathmandu,deep_tube,dry,urban,156.91,37.38,34.17,981.61,28.73,602.44,6.53,0.51,6.61,1.99,6,1,Critical Depletion Zone
AQ0268,27.74,85.43,Kathmandu,deep_tube,dry,urban,167.28,28.3,7.77,32.21,4.15,457.74,9.33,0.67,6.92,1.43,2,1,Critical Depletion Zone
AQ0269,27.67,85.29,Lalitpur,shallow_tube,wet,urban,65.82,5.78,41.62,992.14,23.84,406.55,8.41,0.26,6.5,0.97,7,0,Moderate Stress
AQ0270,27.66,85.41,Kathmandu,shallow_tube,dry,urban,71.35,4.68,47.32,576.09,12.17,339.2,5.61,0.51,7.22,1.33,13,2,Moderate Stress
AQ0271,27.76,85.23,Lalitpur,deep_tube,wet,urban,130.39,34.61,34.19,41.91,1.23,905.72,7.75,0.09,7.12,2.53,4,1,Critical Depletion Zone
AQ0272,27.76,85.42,Bhaktapur,deep_tube,wet,urban,101.2,54.54,47.96,673.58,14.05,573.48,6.69,0.38,8.0,1.76,9,1,Critical Depletion Zone
AQ0273,27.77,85.23,Lalitpur,dug,wet,peri-urban,8.06,3.57,11.81,101.49,8.59,244.81,3.46,0.68,8.06,0.53,14,2,Moderate Stress
AQ0274,27.78,85.3,Kathmandu,dug,dry,urban,6.75,7.38,26.48,727.69,27.48,585.5,3.54,0.63,6.97,1.16,10,0,Moderate Stress
AQ0275,27.7,85.41,Kathmandu,deep_tube,dry,urban,200.33,40.89,32.08,381.99,11.91,1180.18,5.71,0.89,7.18,1.58,9,1,Critical Depletion Zone
AQ0276,27.7,85.24,Kathmandu,shallow_tube,dry,urban,83.57,23.43,31.18,865.4,27.76,537.9,3.97,0.26,7.99,1.16,7,0,Moderate Stress
AQ0277,27.76,85.26,Kathmandu,deep_tube,dry,urban,201.2,49.97,23.07,23.51,1.02,964.64,9.32,0.45,7.81,1.55,12,1,Critical Depletion Zone
AQ0278,27.73,85.39,Bhaktapur,deep_tube,dry,urban,158.21,35.73,20.21,221.4,10.95,396.53,4.68,0.3,6.21,1.6,8,1,Critical Depletion Zone
AQ0279,27.74,85.39,Kathmandu,shallow_tube,dry,urban,38.69,17.11,10.71,94.2,8.8,150.0,9.62,0.4,6.84,0.93,3,2,Moderate Stress
AQ0280,27.76,85.37,Kathmandu,dug,wet,urban,8.54,9.0,22.63,193.52,8.55,659.0,6.26,0.77,7.04,1.03,11,2,Moderate Stress
AQ0281,27.78,85.38,Lalitpur,shallow_tube,wet,urban,49.52,11.19,12.32,39.48,3.2,510.78,7.05,0.62,6.66,1.9,5,2,Moderate Stress
AQ0282,27.67,85.34,Lalitpur,dug,wet,peri-urban,4.28,3.4,38.05,268.24,7.05,469.73,3.71,0.8,6.6,0.71,2,2,Moderate Stress
AQ0283,27.68,85.27,Lalitpur,deep_tube,wet,agriculture,202.6,4.61,14.4,273.01,18.96,171.37,2.78,0.19,6.28,0.91,10,2,Moderate Stress
AQ0284,27.62,85.29,Kathmandu,deep_tube,wet,peri-urban,205.91,50.29,7.64,79.57,10.42,806.85,2.88,0.79,7.49,0.97,7,1,Critical Depletion Zone
AQ0285,27.72,85.25,Kathmandu,deep_tube,wet,peri-urban,155.96,48.85,29.86,432.79,14.5,1062.31,1.5,0.06,6.73,0.61,13,1,Critical Depletion Zone
AQ0286,27.61,85.44,Lalitpur,dug,wet,urban,3.53,1.22,31.79,419.1,13.19,496.18,6.98,0.8,6.3,1.91,8,2,Moderate Stress
AQ0287,27.69,85.35,Kathmandu,deep_tube,dry,agriculture,146.54,36.3,44.24,1297.04,29.32,818.36,4.68,0.3,6.66,0.32,9,0,Moderate Stress
AQ0288,27.71,85.3,Kathmandu,deep_tube,wet,urban,196.42,29.98,30.96,937.33,30.27,701.54,8.22,0.29,7.8,1.71,11,1,Critical Depletion Zone
AQ0289,27.66,85.32,Kathmandu,shallow_tube,wet,agriculture,90.96,4.73,20.55,348.04,16.94,150.0,3.32,0.47,7.9,0.64,11,2,Moderate Stress
AQ0290,27.72,85.45,Kathmandu,deep_tube,wet,agriculture,124.42,58.91,41.14,480.26,11.68,1260.23,2.99,0.85,7.17,0.47,7,1,Critical Depletion Zone
AQ0291,27.61,85.24,Kathmandu,shallow_tube,dry,peri-urban,14.16,6.94,29.31,130.54,4.45,150.0,3.03,0.05,7.03,1.02,10,2,Moderate Stress
AQ0292,27.61,85.35,Kathmandu,deep_tube,wet,agriculture,205.28,7.77,8.57,272.68,31.83,578.55,7.56,0.32,8.16,1.07,10,0,Moderate Stress
AQ0293,27.76,85.33,Lalitpur,deep_tube,wet,urban,146.73,37.31,30.46,89.79,2.95,460.51,7.68,0.77,6.6,3.06,13,1,Critical Depletion Zone
AQ0294,27.67,85.36,Lalitpur,deep_tube,dry,urban,165.01,45.38,45.86,487.23,10.62,617.87,5.35,0.36,6.63,1.82,8,1,Critical Depletion Zone
AQ0295,27.63,85.2,Bhaktapur,shallow_tube,wet,urban,97.06,2.75,22.83,242.9,10.64,714.48,6.14,0.19,6.78,1.24,12,2,Moderate Stress
AQ0296,27.7,85.43,Kathmandu,shallow_tube,wet,urban,14.12,17.15,18.33,208.28,11.36,502.04,2.67,0.39,6.55,1.62,9,2,Moderate Stress
AQ0297,27.75,85.44,Kathmandu,deep_tube,wet,urban,177.8,33.81,11.46,72.31,6.31,1028.74,9.88,0.35,6.96,2.17,6,1,Critical Depletion Zone
AQ0298,27.64,85.35,Kathmandu,shallow_tube,wet,urban,14.82,4.38,11.82,311.0,26.32,428.1,7.33,0.82,8.02,1.43,12,0,Moderate Stress
AQ0299,27.72,85.38,Lalitpur,shallow_tube,wet,agriculture,42.54,5.97,24.47,121.41,4.96,150.0,3.71,0.69,7.43,0.57,12,2,Moderate Stress
AQ0300,27.62,85.44,Lalitpur,shallow_tube,wet,urban,81.95,15.06,31.81,684.73,21.53,729.05,6.69,0.46,7.02,1.45,10,0,Moderate Stress
AQ0301,27.61,85.38,Kathmandu,dug,dry,peri-urban,6.03,3.1,8.63,43.18,5.0,150.0,1.55,0.89,8.07,1.3,2,2,Moderate Stress
AQ0302,27.71,85.24,Bhaktapur,deep_tube,dry,agriculture,219.66,56.55,47.28,155.11,3.28,1105.19,7.8,0.42,6.3,0.85,2,1,Critical Depletion Zone
AQ0303,27.71,85.35,Kathmandu,shallow_tube,dry,agriculture,59.43,20.83,38.98,1185.21,30.4,613.35,3.05,0.06,6.62,0.81,4,0,Moderate Stress
AQ0304,27.73,85.36,Lalitpur,shallow_tube,wet,agriculture,37.55,24.62,31.4,224.42,7.15,337.6,5.89,0.24,7.33,0.53,9,2,Moderate Stress
AQ0305,27.75,85.31,Lalitpur,shallow_tube,dry,urban,28.25,7.97,42.28,1164.97,27.55,512.58,3.96,0.4,7.43,2.19,7,0,Moderate Stress
AQ0306,27.8,85.39,Bhaktapur,deep_tube,wet,agriculture,142.06,58.3,8.61,160.2,18.61,1422.29,6.31,0.15,6.28,0.24,2,1,Critical Depletion Zone
AQ0307,27.7,85.44,Lalitpur,deep_tube,wet,peri-urban,144.7,28.15,26.46,93.06,3.52,580.09,4.88,0.85,7.01,1.34,8,2,Moderate Stress
AQ0308,27.66,85.44,Bhaktapur,shallow_tube,dry,urban,14.32,9.99,33.35,1063.76,31.89,488.43,7.39,0.69,7.5,1.67,11,0,Moderate Stress
AQ0309,27.76,85.32,Kathmandu,shallow_tube,wet,urban,42.0,3.16,42.29,379.97,8.99,646.65,6.92,0.25,7.6,1.48,7,2,Moderate Stress
AQ0310,27.65,85.23,Bhaktapur,shallow_tube,wet,peri-urban,50.71,3.21,40.26,1159.18,28.8,274.27,5.46,0.54,7.48,0.9,9,0,Moderate Stress
AQ0311,27.69,85.46,Kathmandu,deep_tube,dry,urban,186.73,42.75,17.47,112.81,6.46,869.43,2.63,0.65,6.84,2.14,8,1,Critical Depletion Zone
AQ0312,27.62,85.42,Bhaktapur,deep_tube,dry,urban,178.81,29.64,47.34,1354.42,28.61,478.12,4.65,0.85,6.39,2.28,3,0,Moderate Stress
AQ0313,27.61,85.23,Lalitpur,shallow_tube,wet,urban,73.21,7.21,10.6,15.13,1.43,518.87,3.99,0.79,7.05,1.56,1,2,Moderate Stress
AQ0314,27.79,85.44,Bhaktapur,shallow_tube,dry,urban,8.77,16.12,44.38,778.78,17.55,768.3,9.9,0.47,6.46,1.38,2,0,Moderate Stress
AQ0315,27.77,85.43,Kathmandu,shallow_tube,dry,urban,28.03,7.82,48.69,1260.09,25.88,310.94,5.12,0.7,8.1,1.04,14,0,Moderate Stress
AQ0316,27.74,85.33,Lalitpur,dug,wet,peri-urban,7.63,5.86,12.97,405.05,31.23,543.51,4.66,0.51,7.15,0.83,13,0,Moderate Stress
