aquifer_id,lat,lon,district,well_type,well_depth_m,water_table_depth_m,transmissivity_m2_per_day,hydraulic_conductivity_m_per_day,aquifer_thickness_m,tds_mg_per_L,nitrate_mg_per_L,fluoride_mg_per_L,pH,land_use,season,depletion_rate_m_per_year,years_depleting
AQ0174,27.692305,85.445826,Lalitpur,shallow_tube,30.38,15.3,237.54,10.0287,23.69,720.2,2.534,0.081,7.04,peri-urban,dry,1.43,13
AQ0175,27.687284,85.366693,Kathmandu,shallow_tube,48.88,19.49,104.07,5.571,18.68,443.5,1.898,0.492,7.75,agriculture,wet,0.33,12
AQ0176,27.730868,85.258005,Kathmandu,shallow_tube,60.02,22.26,800.84,26.3845,30.35,714.5,6.191,1.388,6.95,urban,dry,1.16,4
AQ0177,27.713897,85.417103,Kathmandu,shallow_tube,62.75,27.76,21.49,0.4913,43.75,609.5,7.628,0.427,7.73,urban,dry,2.2,8
AQ0178,27.788338,85.241839,Kathmandu,shallow_tube,55.17,29.43,119.58,3.7406,31.97,560.7,4.853,0.478,7.37,urban,dry,0.34,1
AQ0179,27.721939,85.37491,Lalitpur,deep_tube,152.61,28.52,226.44,7.3599,30.77,504.3,5.454,0.436,7.12,urban,dry,0.37,8
AQ0180,27.646159,85.428918,Lalitpur,dug,7.67,20.07,190.7,4.2561,44.81,343.4,5.825,1.269,7.9,urban,dry,2.37,5
AQ0181,27.612479,85.28382,Kathmandu,deep_tube,170.58,14.94,153.22,18.6929,8.2,269.3,2.92,0.01,6.97,urban,wet,2.06,14
AQ0182,27.726116,85.254927,Kathmandu,deep_tube,65.1,4.0,388.32,46.0012,8.44,666.5,10.505,0.207,6.64,urban,dry,0.31,12
AQ0183,27.697567,85.220568,Kathmandu,shallow_tube,22.21,0.5,624.23,15.6186,39.97,312.0,12.287,0.551,7.62,urban,wet,0.73,2
AQ0184,27.694173,85.364014,Kathmandu,shallow_tube,27.98,10.92,158.52,6.6811,23.73,696.9,2.048,0.633,7.87,agriculture,wet,1.92,12
AQ0185,27.697925,85.361186,Kathmandu,shallow_tube,62.15,0.5,389.77,22.223,17.54,277.8,2.334,0.197,7.31,peri-urban,dry,1.12,3
AQ0186,27.787779,85.423496,Kathmandu,shallow_tube,12.22,19.21,2000.0,63.4881,31.5,598.0,4.049,0.741,6.93,peri-urban,wet,0.81,4
AQ0187,27.691665,85.287805,Kathmandu,shallow_tube,25.95,8.15,668.32,25.7211,25.98,277.9,5.551,0.456,7.89,urban,dry,2.12,13
AQ0188,27.73488,85.390723,Kathmandu,shallow_tube,50.52,2.65,398.13,11.9976,33.18,617.2,5.305,0.9,7.58,agriculture,dry,0.77,12
AQ0189,27.74492,85.227898,Lalitpur,shallow_tube,33.76,4.79,172.49,16.2008,10.65,258.0,5.4,0.547,7.53,peri-urban,wet,0.45,5
AQ0190,27.749885,85.307778,Kathmandu,shallow_tube,14.9,11.45,1388.98,40.3748,34.4,277.6,0.625,0.803,8.47,peri-urban,dry,1.07,1
AQ0191,27.656323,85.44084,Kathmandu,shallow_tube,53.14,14.12,94.85,11.0912,8.55,149.6,6.501,0.866,7.1,urban,wet,0.44,9
AQ0192,27.647998,85.377533,Kathmandu,shallow_tube,52.74,14.61,576.2,33.332,17.29,286.6,6.371,0.579,7.94,urban,dry,2.2,12
AQ0193,27.682239,85.300602,Bhaktapur,deep_tube,133.79,15.2,173.48,13.0352,13.31,242.2,0.01,0.758,6.91,peri-urban,wet,1.47,6
AQ0194,27.736431,85.437475,Kathmandu,shallow_tube,57.28,32.19,266.65,18.0096,14.81,410.5,6.917,1.385,7.31,urban,dry,1.2,10
AQ0195,27.665359,85.202703,Lalitpur,deep_tube,160.63,15.47,515.78,79.8434,6.46,515.7,6.57,0.01,7.49,urban,dry,2.36,6
AQ0196,27.68471,85.398393,Kathmandu,shallow_tube,31.38,10.86,196.95,13.2879,14.82,407.3,6.584,0.729,7.42,urban,dry,0.47,3
AQ0197,27.670164,85.29064,Lalitpur,shallow_tube,17.21,0.5,93.0,2.2475,41.38,312.5,9.629,0.744,8.18,urban,wet,0.37,5
AQ0198,27.66236,85.262443,Lalitpur,shallow_tube,48.08,4.93,151.07,5.385,28.05,742.9,12.027,0.569,7.05,urban,wet,1.26,7
AQ0199,27.651067,85.226469,Kathmandu,shallow_tube,57.36,24.86,210.12,17.4277,12.06,194.7,1.562,0.015,7.36,agriculture,dry,1.41,11
AQ0200,27.652469,85.278263,Lalitpur,dug,1.5,4.52,236.71,12.35,19.17,198.7,1.458,0.465,7.07,agriculture,dry,1.99,6
AQ0201,27.650234,85.411053,Kathmandu,shallow_tube,50.09,0.5,437.66,11.5853,37.78,876.8,4.019,1.182,6.96,peri-urban,dry,0.89,11
AQ0202,27.756038,85.449406,Kathmandu,shallow_tube,13.46,8.49,26.33,0.5691,46.26,304.6,5.442,0.864,7.63,urban,dry,1.82,14
AQ0203,27.620049,85.204148,Lalitpur,shallow_tube,32.75,7.94,190.04,4.3114,44.08,367.9,3.826,0.01,7.86,urban,dry,0.36,10
AQ0204,27.789351,85.395404,Kathmandu,dug,4.06,19.9,966.87,24.9095,38.82,409.6,1.355,0.232,7.05,urban,dry,0.79,1
AQ0205,27.645216,85.404326,Bhaktapur,dug,2.03,0.2,214.1,10.6793,20.05,599.0,5.312,0.379,7.43,urban,wet,0.63,6
AQ0206,27.669312,85.301929,Kathmandu,dug,6.63,15.64,586.51,11.9888,48.92,184.0,1.32,0.781,6.8,urban,dry,2.23,9
AQ0207,27.628222,85.336396,Kathmandu,dug,6.94,21.43,197.26,7.1194,27.71,842.2,4.954,0.01,6.17,urban,dry,1.66,8
AQ0208,27.712846,85.412644,Kathmandu,deep_tube,205.68,28.88,163.12,4.1358,39.44,568.6,2.599,0.435,7.65,urban,dry,1.79,1
AQ0209,27.788786,85.391457,Kathmandu,dug,3.99,7.62,285.4,14.582,19.57,841.1,8.044,0.484,7.06,urban,dry,1.84,11
AQ0210,27.74683,85.28533,Kathmandu,deep_tube,124.93,1.0,224.58,35.9141,6.25,210.4,7.511,0.71,7.24,urban,dry,0.41,12
AQ0211,27.718403,85.241475,Kathmandu,shallow_tube,58.24,17.61,396.98,33.6965,11.78,678.7,3.053,0.01,7.64,green,dry,2.14,4
AQ0212,27.789185,85.273956,Kathmandu,shallow_tube,49.79,0.58,312.68,8.2731,37.8,804.7,3.055,0.724,7.52,urban,wet,0.53,4
AQ0213,27.728981,85.272063,Kathmandu,deep_tube,80.87,32.18,367.86,16.5096,22.28,289.3,1.24,0.611,7.36,urban,dry,0.49,3
AQ0214,27.778264,85.315954,Kathmandu,shallow_tube,38.18,0.5,608.77,28.4338,21.41,663.3,8.486,0.531,7.86,urban,wet,2.49,11
AQ0215,27.723835,85.24666,Kathmandu,shallow_tube,71.29,1.17,241.69,4.998,48.36,387.3,4.348,1.096,8.34,urban,wet,0.81,10
AQ0216,27.659133,85.433136,Kathmandu,shallow_tube,63.6,0.5,338.95,7.4966,45.21,262.9,5.863,0.762,7.29,green,wet,2.45,13
AQ0217,27.740421,85.282838,Lalitpur,shallow_tube,35.73,31.45,124.32,2.557,48.62,280.1,5.034,0.796,6.71,urban,dry,2.5,14
AQ0218,27.670946,85.300176,Kathmandu,deep_tube,42.37,7.76,148.77,19.1591,7.77,508.6,5.322,1.195,8.1,urban,wet,1.18,4
AQ0219,27.659472,85.240634,Lalitpur,dug,9.0,14.33,207.89,22.0294,9.44,328.3,4.644,0.973,8.05,urban,dry,0.63,12
AQ0220,27.659265,85.235867,Kathmandu,shallow_tube,28.66,10.3,1145.94,27.1039,42.28,389.1,0.753,0.911,7.48,peri-urban,wet,0.91,7
AQ0221,27.735698,85.280775,Bhaktapur,shallow_tube,63.13,0.5,123.94,2.4885,49.8,508.1,2.634,0.757,6.46,peri-urban,wet,1.07,2
AQ0222,27.728791,85.295238,Kathmandu,shallow_tube,36.48,21.56,279.86,6.6757,41.92,486.4,8.711,1.136,7.31,urban,dry,1.69,9
AQ0223,27.689077,85.203642,Kathmandu,deep_tube,132.13,3.54,295.05,7.0446,41.88,539.6,10.122,1.203,6.48,urban,dry,0.33,3
AQ0224,27.636892,85.250573,Kathmandu,dug,6.57,0.2,213.82,18.5287,11.54,258.5,7.935,0.684,7.71,urban,dry,2.41,9
AQ0225,27.783509,85.394453,Lalitpur,deep_tube,30.0,41.0,2000.0,78.9875,25.32,589.1,3.117,1.242,7.66,peri-urban,dry,0.4,14
AQ0226,27.676428,85.338683,Kathmandu,dug,8.31,14.68,224.23,36.8792,6.08,218.1,6.989,1.235,7.53,urban,dry,0.99,14
AQ0227,27.698082,85.242376,Kathmandu,shallow_tube,46.06,4.32,164.82,6.6818,24.67,964.2,5.205,0.661,7.22,peri-urban,dry,1.91,8
AQ0228,27.679867,85.302418,Bhaktapur,dug,4.81,10.39,62.23,1.4655,42.47,490.4,6.729,0.506,6.67,urban,wet,1.51,13
AQ0229,27.723722,85.342138,Kathmandu,shallow_tube,14.05,29.45,111.97,6.0108,18.63,694.6,9.249,0.113,6.84,urban,dry,1.74,7
AQ0230,27.710694,85.342572,Kathmandu,shallow_tube,39.26,2.98,443.26,12.2201,36.27,913.6,4.91,0.2,7.18,peri-urban,wet,0.87,5
AQ0231,27.612186,85.373504,Kathmandu,shallow_tube,52.54,12.59,173.05,17.8213,9.71,452.5,1.119,0.262,7.89,urban,dry,0.58,3
AQ0232,27.779315,85.249074,Kathmandu,deep_tube,206.17,25.77,977.08,25.2191,38.74,436.2,5.218,0.446,6.83,urban,dry,0.97,13
AQ0233,27.71881,85.347413,Kathmandu,deep_tube,183.61,7.46,1335.38,236.0404,5.66,837.6,4.788,0.289,6.68,urban,wet,0.89,3
AQ0234,27.711481,85.376754,Lalitpur,deep_tube,153.67,21.86,550.48,50.1266,10.98,171.8,4.88,0.01,6.67,urban,dry,2.31,9
AQ0235,27.752001,85.27815,Kathmandu,dug,6.07,6.21,159.7,4.0468,39.46,221.4,1.574,0.828,8.01,peri-urban,wet,0.75,6
AQ0236,27.673392,85.236807,Kathmandu,shallow_tube,21.34,33.7,312.57,7.524,41.54,534.9,7.509,0.792,6.74,urban,dry,1.71,14
AQ0237,27.667848,85.215608,Kathmandu,dug,4.38,0.41,572.11,13.1094,43.64,511.0,10.903,0.203,7.81,urban,wet,1.4,8
AQ0238,27.646256,85.260893,Kathmandu,dug,4.34,4.01,559.3,13.8975,40.24,253.5,4.767,0.095,7.7,peri-urban,wet,2.19,1
AQ0239,27.695095,85.412275,Kathmandu,dug,6.36,16.47,1524.87,47.3649,32.19,859.8,1.772,0.515,7.36,peri-urban,dry,2.15,13
AQ0240,27.784438,85.235499,Kathmandu,dug,2.89,14.18,177.63,4.0543,43.81,630.8,0.443,0.642,7.37,peri-urban,dry,2.49,4
AQ0241,27.708851,85.443945,Kathmandu,shallow_tube,44.22,0.5,770.35,27.6617,27.85,358.7,4.222,0.022,6.31,peri-urban,dry,2.03,3
AQ0242,27.779011,85.413311,Lalitpur,dug,6.4,7.61,196.87,11.801,16.68,248.0,5.972,0.671,6.73,agriculture,wet,1.43,6
AQ0243,27.748458,85.241954,Kathmandu,dug,6.64,10.04,117.46,5.6752,20.7,942.7,0.01,0.569,6.97,peri-urban,dry,2.07,13
AQ0244,27.747818,85.371628,Lalitpur,deep_tube,192.25,39.75,311.4,7.5286,41.36,589.8,4.016,0.535,7.66,urban,dry,2.2,13
AQ0245,27.741274,85.286395,Kathmandu,shallow_tube,49.97,6.81,147.37,9.501,15.51,138.2,5.28,0.01,7.16,urban,dry,0.53,14
AQ0246,27.612045,85.274413,Kathmandu,shallow_tube,46.97,7.27,399.99,48.9344,8.17,445.9,9.71,0.874,6.99,urban,dry,0.67,13
AQ0247,27.69657,85.253071,Kathmandu,deep_tube,129.5,13.03,373.32,13.4933,27.67,326.5,8.725,0.543,6.52,urban,wet,2.13,6
AQ0248,27.747894,85.361384,Kathmandu,shallow_tube,36.69,6.62,268.39,20.5514,13.06,558.8,6.498,1.153,6.92,urban,dry,1.05,3
AQ0249,27.638403,85.236505,Bhaktapur,deep_tube,166.74,20.26,186.48,9.7548,19.12,172.5,7.761,0.441,7.79,urban,wet,0.59,10
AQ0250,27.793549,85.364441,Kathmandu,deep_tube,195.31,33.29,522.16,19.9232,26.21,100.7,3.994,0.499,6.54,urban,wet,0.46,10
AQ0251,27.66322,85.213935,Lalitpur,dug,4.55,7.29,236.55,5.1438,45.99,398.3,3.869,0.751,8.03,urban,dry,2.25,8
AQ0252,27.616191,85.419153,Lalitpur,shallow_tube,20.64,17.27,317.99,10.24,31.05,366.8,3.172,1.413,7.14,urban,wet,0.88,1
AQ0253,27.68897,85.322262,Kathmandu,deep_tube,240.8,13.42,53.87,1.2475,43.18,818.6,1.167,1.163,7.56,green,wet,2.07,13
AQ0254,27.748965,85.311489,Kathmandu,dug,8.69,0.2,2000.0,57.5098,34.78,326.0,4.902,0.462,7.07,urban,dry,1.47,10
AQ0255,27.791427,85.306776,Kathmandu,deep_tube,261.33,23.44,262.93,18.4264,14.27,711.7,4.036,0.895,7.96,urban,dry,1.91,2
AQ0256,27.77111,85.304573,Kathmandu,deep_tube,111.56,76.26,755.3,55.4218,13.63,1420.7,9.278,0.582,6.86,urban,dry,1.8,3
AQ0257,27.6331,85.376651,Kathmandu,shallow_tube,31.29,10.46,55.41,1.2706,43.61,257.9,4.836,0.739,7.28,green,dry,1.46,14
AQ0258,27.706445,85.40541,Kathmandu,shallow_tube,38.83,30.08,138.55,3.7417,37.03,446.8,4.502,0.28,7.49,urban,dry,1.02,11
AQ0259,27.724676,85.350617,Kathmandu,shallow_tube,43.64,0.5,473.41,53.654,8.82,1268.4,5.093,0.868,7.1,urban,dry,2.33,7
AQ0260,27.657576,85.381174,Lalitpur,deep_tube,200.98,17.45,190.56,24.3072,7.84,812.6,1.689,0.482,6.32,urban,dry,1.35,2
AQ0261,27.614979,85.22654,Lalitpur,dug,6.05,0.2,163.53,15.7782,10.36,381.5,2.181,0.409,7.16,peri-urban,wet,1.29,2
AQ0262,27.669239,85.363447,Kathmandu,shallow_tube,35.68,20.9,2000.0,112.3153,17.81,821.6,2.089,0.433,6.88,peri-urban,dry,0.88,1
AQ0263,27.619128,85.304784,Kathmandu,dug,3.53,8.98,160.57,5.6963,28.19,468.4,1.376,0.706,8.04,agriculture,dry,2.19,12
AQ0264,27.615943,85.370779,Bhaktapur,shallow_tube,43.31,4.34,242.37,7.0888,34.19,464.8,6.224,0.7,7.35,urban,wet,1.79,4
AQ0265,27.75129,85.318539,Kathmandu,shallow_tube,38.61,11.57,227.86,16.0928,14.16,313.3,4.823,0.599,6.95,urban,dry,2.1,1
AQ0266,27.617341,85.334591,Bhaktapur,shallow_tube,37.3,6.22,1077.32,22.8159,47.22,231.5,0.172,0.946,6.91,peri-urban,wet,1.92,5
AQ0267,27.679825,85.260564,Kathmandu,deep_tube,89.65,2.44,991.61,22.9155,43.27,477.3,5.594,0.58,8.49,peri-urban,dry,0.59,2
AQ0268,27.748474,85.257083,Kathmandu,shallow_tube,20.93,12.5,265.13,8.4843,31.25,1098.9,7.856,0.681,5.89,urban,dry,0.32,8
AQ0269,27.626212,85.399349,Kathmandu,shallow_tube,42.25,0.5,189.14,6.4935,29.13,305.4,5.778,1.267,7.12,green,wet,1.82,2
AQ0270,27.772592,85.32014,Kathmandu,shallow_tube,54.85,13.39,934.51,125.3122,7.46,403.1,5.801,0.52,7.6,urban,dry,0.72,14
AQ0271,27.702638,85.378845,Bhaktapur,dug,8.28,4.37,190.99,25.944,7.36,150.4,7.971,1.131,7.53,urban,dry,0.47,1
AQ0272,27.754897,85.233608,Kathmandu,shallow_tube,33.75,7.22,696.9,23.9488,29.1,95.5,1.256,0.547,7.57,agriculture,wet,1.65,8
AQ0273,27.7862,85.212627,Kathmandu,deep_tube,138.02,1.0,1313.48,31.3282,41.93,213.5,0.207,1.461,7.08,peri-urban,dry,1.16,5
AQ0274,27.714171,85.427399,Kathmandu,deep_tube,130.77,31.82,194.45,5.1182,37.99,1318.8,6.851,1.624,7.18,urban,dry,0.8,3
AQ0275,27.620751,85.273856,Kathmandu,shallow_tube,42.66,0.5,122.36,9.1061,13.44,245.0,5.412,1.099,7.22,urban,wet,0.48,12
AQ0276,27.772686,85.234863,Kathmandu,deep_tube,247.89,33.58,134.93,5.9308,22.75,318.3,2.819,0.917,7.05,green,dry,2.43,9
AQ0277,27.777802,85.240158,Kathmandu,shallow_tube,35.42,10.01,373.34,9.6649,38.63,421.0,4.392,1.522,7.38,peri-urban,dry,2.03,7
AQ0278,27.736256,85.378996,Lalitpur,dug,5.08,9.29,554.86,12.942,42.87,164.2,7.43,1.138,6.44,urban,dry,1.5,4
AQ0279,27.617913,85.378841,Kathmandu,shallow_tube,22.87,7.61,752.03,30.0838,25.0,766.4,2.497,0.333,7.13,urban,wet,1.94,13
AQ0280,27.671935,85.371809,Kathmandu,dug,2.56,0.74,762.39,18.3605,41.52,302.5,2.09,1.11,8.0,peri-urban,wet,2.31,1
AQ0281,27.679358,85.307803,Kathmandu,dug,6.26,0.2,94.82,2.5523,37.15,307.3,7.772,0.748,6.78,urban,wet,0.42,9
AQ0282,27.710796,85.274489,Kathmandu,dug,7.85,0.27,614.04,24.8203,24.74,399.9,2.21,0.417,7.58,peri-urban,dry,2.11,6
AQ0283,27.616289,85.308754,Kathmandu,shallow_tube,46.05,0.5,1884.93,192.2998,9.8,681.8,5.046,0.626,6.89,peri-urban,wet,1.15,7
AQ0284,27.764228,85.442373,Kathmandu,shallow_tube,50.74,8.12,98.18,3.7938,25.88,529.9,3.975,0.425,6.5,peri-urban,wet,1.07,2
AQ0285,27.613055,85.40546,Lalitpur,shallow_tube,45.28,2.46,642.89,94.5755,6.8,765.5,3.153,0.623,6.88,peri-urban,wet,1.33,13
AQ0286,27.789376,85.268793,Kathmandu,deep_tube,188.39,14.56,483.59,12.4863,38.73,210.9,6.04,0.364,7.35,urban,wet,0.33,3
AQ0287,27.773939,85.422708,Kathmandu,shallow_tube,43.4,3.46,76.87,1.7982,42.75,326.1,4.716,0.523,7.79,urban,wet,1.05,9
AQ0288,27.618271,85.389162,Kathmandu,dug,5.02,7.24,391.78,67.6952,5.79,423.6,1.11,0.176,6.53,peri-urban,dry,1.61,8
AQ0289,27.793312,85.310185,Kathmandu,deep_tube,208.87,19.19,725.11,20.0176,36.22,753.2,0.815,0.682,6.79,peri-urban,wet,1.06,13
AQ0290,27.76257,85.344689,Lalitpur,shallow_tube,52.69,21.73,449.75,25.1593,17.88,173.3,3.581,0.677,6.97,green,dry,0.67,14
AQ0291,27.754914,85.254432,Lalitpur,dug,5.32,5.42,150.7,9.188,16.4,443.5,8.458,0.968,7.19,urban,wet,2.34,13
AQ0292,27.796818,85.273062,Kathmandu,shallow_tube,16.25,11.72,230.19,23.8382,9.66,605.3,8.224,0.886,7.17,urban,wet,1.79,1
AQ0293,27.693812,85.217759,Lalitpur,shallow_tube,48.01,41.47,130.31,5.1392,25.36,617.1,3.722,0.361,6.95,urban,dry,0.57,2
AQ0294,27.707455,85.369281,Lalitpur,shallow_tube,54.59,15.15,136.07,3.8499,35.34,207.9,3.191,0.7,7.05,peri-urban,dry,2.3,4
AQ0295,27.726127,85.307536,Kathmandu,shallow_tube,45.55,20.52,242.21,5.2599,46.05,922.8,7.716,0.592,7.05,urban,dry,1.68,9
AQ0296,27.619112,85.424537,Bhaktapur,deep_tube,139.95,30.31,345.83,26.6416,12.98,364.9,0.875,0.55,7.13,peri-urban,dry,1.99,5
AQ0297,27.627149,85.44436,Bhaktapur,dug,4.81,6.76,856.26,95.3749,8.98,197.4,10.655,0.459,7.62,urban,dry,0.45,9
AQ0298,27.73159,85.381869,Lalitpur,dug,5.66,0.2,310.55,14.6234,21.24,400.1,9.379,0.67,7.03,urban,dry,2.19,6
AQ0299,27.759278,85.348854,Bhaktapur,shallow_tube,64.53,26.28,164.18,4.3067,38.12,416.6,4.749,1.193,6.94,urban,dry,0.62,7
AQ0300,27.789099,85.35803,Kathmandu,shallow_tube,49.52,0.55,205.59,9.871,20.83,256.5,8.588,0.637,6.96,urban,wet,0.42,2
AQ0301,27.640851,85.356701,Kathmandu,deep_tube,30.0,1.0,211.06,6.7257,31.38,173.4,7.46,0.768,7.13,urban,dry,1.47,3
AQ0302,27.727417,85.424667,Kathmandu,dug,5.85,13.32,271.7,10.4204,26.07,329.4,1.879,1.159,6.48,agriculture,dry,1.87,2
AQ0303,27.793167,85.243696,Lalitpur,dug,7.86,8.3,376.14,44.054,8.54,197.8,0.817,1.226,6.85,green,wet,1.81,14
AQ0304,27.769128,85.358816,Kathmandu,dug,5.59,11.83,782.63,45.7719,17.1,476.8,1.916,0.803,6.76,peri-urban,dry,2.28,6
AQ0305,27.753946,85.402734,Kathmandu,deep_tube,234.42,18.21,491.11,34.977,14.04,511.4,8.273,1.604,7.79,urban,dry,1.72,5
AQ0306,27.796572,85.334118,Kathmandu,shallow_tube,41.83,11.6,503.38,14.3699,35.03,490.0,3.563,0.711,7.86,urban,dry,2.19,3
AQ0307,27.722623,85.239301,Bhaktapur,shallow_tube,42.9,9.79,468.72,9.5555,49.05,62.3,2.193,0.702,6.66,peri-urban,dry,1.5,2
AQ0308,27.652135,85.274224,Kathmandu,deep_tube,156.87,23.18,268.7,47.0048,5.72,519.9,2.165,0.391,7.34,agriculture,dry,0.9,9
AQ0309,27.75263,85.400562,Kathmandu,shallow_tube,24.87,14.35,811.48,94.8892,8.55,373.6,2.401,1.673,7.63,urban,dry,2.05,8
AQ0310,27.694381,85.322578,Lalitpur,deep_tube,48.56,2.32,437.28,10.7365,40.73,114.1,7.355,0.29,6.94,urban,dry,1.31,1
AQ0311,27.607032,85.280786,Kathmandu,shallow_tube,28.74,0.5,158.64,9.9426,15.96,1033.8,6.099,1.187,6.99,urban,wet,1.05,1
AQ0312,27.789061,85.429269,Kathmandu,shallow_tube,48.31,23.92,936.3,69.3335,13.5,222.4,2.412,1.323,7.48,urban,dry,1.01,4
AQ0313,27.708965,85.267436,Lalitpur,shallow_tube,34.32,17.92,524.03,18.7571,27.94,246.0,3.871,0.752,8.0,urban,dry,0.47,2
AQ0314,27.724111,85.359588,Lalitpur,dug,6.22,16.43,195.02,21.001,9.29,382.2,1.441,0.827,6.71,green,dry,0.68,7
AQ0315,27.612581,85.246837,Kathmandu,shallow_tube,29.84,9.3,142.63,8.8024,16.2,176.3,3.675,0.401,7.28,urban,wet,2.14,2
AQ0316,27.777112,85.202503,Bhaktapur,shallow_tube,58.26,3.32,299.38,13.2893,22.53,260.3,3.046,0.651,7.69,urban,dry,0.88,4
AQ0317,27.789571,85.264639,Kathmandu,shallow_tube,39.92,4.2,109.48,2.7523,39.78,308.7,5.726,0.869,7.66,urban,dry,0.72,14
AQ0318,27.675857,85.211806,Kathmandu,deep_tube,138.0,13.81,299.35,10.8649,27.55,486.2,4.328,0.01,6.52,urban,dry,1.76,7
AQ0319,27.61897,85.336032,Lalitpur,shallow_tube,22.93,9.07,371.85,14.3729,25.87,296.0,3.191,1.495,7.65,urban,wet,1.76,14
AQ0320,27.643093,85.23012,Bhaktapur,dug,6.78,9.99,85.09,4.1007,20.75,1502.3,3.799,0.313,6.53,peri-urban,dry,2.16,12
AQ0321,27.708241,85.400965,Kathmandu,dug,3.99,0.2,128.06,14.5007,8.83,756.4,3.588,1.017,6.59,green,dry,1.84,2
AQ0322,27.662302,85.395731,Kathmandu,shallow_tube,31.69,24.41,87.12,3.0391,28.67,294.4,7.9,0.238,6.72,urban,dry,2.35,13
AQ0323,27.71239,85.278641,Kathmandu,shallow_tube,26.06,24.8,47.88,1.3643,35.09,792.1,0.274,0.022,6.84,agriculture,dry,1.23,14
AQ0324,27.74895,85.242059,Kathmandu,shallow_tube,25.28,5.64,465.35,19.5549,23.8,360.5,1.51,1.286,7.57,green,wet,0.32,12
AQ0325,27.602023,85.237202,Lalitpur,shallow_tube,48.82,5.06,165.87,3.8411,43.18,422.7,3.345,0.932,6.88,peri-urban,wet,1.69,8
AQ0326,27.700744,85.407551,Lalitpur,shallow_tube,50.97,11.81,675.28,23.4047,28.85,1484.0,5.554,0.867,6.35,urban,wet,0.49,1
AQ0327,27.745454,85.358439,Kathmandu,shallow_tube,57.33,16.75,621.84,20.9408,29.7,501.3,4.013,0.781,8.25,green,dry,0.35,6
AQ0328,27.702418,85.435173,Kathmandu,shallow_tube,35.42,20.71,97.41,2.1086,46.19,407.6,4.411,0.333,7.17,green,dry,0.88,6
AQ0329,27.620581,85.382533,Kathmandu,shallow_tube,19.91,7.67,66.53,7.9214,8.4,1011.3,9.397,0.76,7.54,urban,wet,1.87,8
AQ0330,27.744568,85.208122,Kathmandu,shallow_tube,39.74,23.06,353.56,7.0914,49.86,134.2,0.941,0.816,6.6,agriculture,dry,1.19,6
AQ0331,27.73704,85.445474,Lalitpur,deep_tube,148.83,17.55,718.25,42.8476,16.76,340.6,0.01,1.493,7.52,peri-urban,wet,1.96,1
AQ0332,27.623413,85.332044,Kathmandu,shallow_tube,75.09,11.56,84.77,1.7745,47.77,190.8,0.01,0.01,7.61,peri-urban,dry,1.2,1
AQ0333,27.677735,85.310925,Bhaktapur,shallow_tube,41.2,1.49,311.71,7.2745,42.85,422.3,6.298,0.877,7.09,urban,wet,0.75,1
AQ0334,27.769102,85.399771,Kathmandu,dug,6.96,6.98,181.55,12.4937,14.53,283.4,8.797,1.032,7.0,urban,wet,1.52,14
AQ0335,27.623101,85.281527,Kathmandu,deep_tube,149.94,45.06,1110.01,22.8046,48.67,125.4,8.931,1.136,7.81,urban,dry,0.83,10
AQ0336,27.688413,85.283526,Kathmandu,shallow_tube,26.78,27.13,108.69,8.1899,13.27,200.8,6.718,0.01,7.75,urban,dry,1.22,7
AQ0337,27.709953,85.313088,Kathmandu,shallow_tube,37.57,9.84,310.95,6.75,46.07,401.3,5.986,0.24,7.7,urban,wet,0.85,9
AQ0338,27.690792,85.275416,Kathmandu,deep_tube,99.21,39.87,260.81,8.3669,31.17,1669.9,8.18,0.216,7.23,urban,dry,0.58,6
AQ0339,27.77992,85.395483,Kathmandu,dug,4.81,7.38,424.71,13.4581,31.56,178.6,4.864,1.115,7.52,urban,wet,1.99,14
AQ0340,27.634336,85.401958,Lalitpur,shallow_tube,28.97,32.44,1929.83,57.1431,33.77,600.3,2.566,1.426,7.05,urban,dry,2.05,6
AQ0341,27.77895,85.266917,Kathmandu,deep_tube,168.59,15.28,184.76,11.7148,15.77,160.0,2.487,0.863,6.34,urban,wet,1.27,2
AQ0342,27.677612,85.398991,Kathmandu,dug,5.68,8.06,90.75,2.0485,44.3,1280.8,9.241,0.75,7.46,urban,wet,0.34,13
AQ0343,27.738826,85.204031,Kathmandu,shallow_tube,28.36,10.17,113.54,2.7596,41.14,1056.5,2.624,1.06,6.94,peri-urban,wet,0.95,14
AQ0344,27.604972,85.200979,Kathmandu,shallow_tube,45.54,17.38,154.41,7.6191,20.27,70.4,3.09,0.211,7.61,urban,dry,1.33,1
AQ0345,27.777368,85.422214,Lalitpur,dug,8.8,12.33,345.49,13.1194,26.33,202.1,1.587,0.289,7.48,peri-urban,dry,2.25,8
AQ0346,27.78769,85.242771,Kathmandu,shallow_tube,38.93,13.5,364.97,7.3467,49.68,152.3,3.128,1.127,7.11,urban,wet,1.56,9
AQ0347,27.657369,85.270114,Kathmandu,dug,7.82,2.04,600.34,59.5709,10.08,489.5,7.386,0.528,8.04,urban,wet,2.48,10
AQ0348,27.627657,85.306531,Kathmandu,shallow_tube,29.79,0.5,1088.45,54.4689,19.98,206.0,10.042,1.452,7.78,urban,wet,1.1,13
AQ0349,27.68665,85.399923,Lalitpur,shallow_tube,21.37,0.97,1098.18,100.846,10.89,518.2,10.372,0.5,7.47,urban,wet,0.77,12
